en,es
I already have one of these.,Ya tengo una de éstas.
Don't confuse desire with love.,No confundas deseo con amor.
I know when someone's lying to me.,Yo sé cuando alguien me está mintiendo.
I lent my friend some money.,Le presté dinero a mi amigo.
That's an excellent choice.,Esa es una excelente elección.
Mary is a tomboy.,Mary es un chicazo.
I thought it'd be more comfortable if we sat here.,Pensé que sería más cómodo si nos sentáramos aquí.
"When it was stretched, the material tore.",Al estirar la tela se rompió.
Don't despise a man because he is poor.,No desprecies a un hombre por ser pobre.
Did you want to drive?,¿Querías conducir?
"When I got there, there was no more cake left.","Cuando llegué, ya no quedaba pastel."
That's what you think.,Eso es lo que crees.
Tom doesn't know what Mary wants to eat for dinner.,Tom no sabe qué quiere Mary para cenar.
Tom got the job he wanted.,Tom consiguió el trabajo que quería.
I don't usually put sugar in my coffee.,No suelo echarle azúcar al café.
I really hope that no one saw us doing that.,De verdad espero que nadie nos viera haciendo eso.
The school was established in 1650.,Este colegio fue fundado en 1650.
I'm pregnant.,Estoy embarazada.
You don't have to speak.,No tienes que hablar.
I don't know anyone in Boston.,Yo no conozco a nadie en Boston.
Tom rocks.,Tom se mece.
His parents hate him.,Sus padres lo odian.
The bed I slept in last night wasn't very comfortable.,La cama en la que dormí ayer no era muy confortable.
Tom threw a pebble at Mary's bedroom window.,Tom tiró un guijarro a la ventana del dormitorio de Mary.
I love what I'm doing.,Amo lo que estoy haciendo.
I also want to see the ocean.,También yo quería ver el mar.
What time does this museum close?,¿A qué hora cierra el museo?
You should get your car fixed.,Ustedes deberían hacer reparar su coche.
I've actually never done that by myself.,"En realidad, nunca lo he hecho yo solo."
Aren't you going to finish your dinner?,¿No te vas a terminar tu cena?
Our town was bombed twice this week.,Nuestra ciudad ha sido bombardeada dos veces esta semana.
The witness stated his name.,El testigo indicó su nombre.
Tom doesn't go to church very often.,Tom no va a la iglesia muy seguido.
I'm only trying to protect you.,Yo sólo trato de protegerte.
We already sang that song.,Ya hemos cantado esa canción.
He left everything to her in his will.,Él le dejó todo a ella en su testamento.
He cannot have done it by himself.,Él no puede haber hecho eso solo.
Industrialization had a great influence on the development of the economy in Japan.,La industrialización ejerció gran influencia en el desarrollo económico japonés.
Tom is safe where he is.,Tom está seguro donde está.
Who are your closest friends?,¿Quiénes son tus amigos más cercanos?
Do you think I'm crazy?,¿Creéis que estoy loco?
I wept.,Lloré.
Tom died at 65.,Tom murió a los 65.
I want you to behave.,Quiero que te comportes.
Put your hands down.,¡Abajo las manos!
There's a desk in the corner of the room.,Hay un escritorio en el rincón de la habitación.
Take a look at this map.,Fíjate en este mapa.
Where did you study?,¿Dónde estudiaste?
Tom said his house had been broken into.,Tom dijo que habían entrado a robar en su casa.
Tom lost his foreign accent.,Tom perdió su acento extranjero.
It is sad that he has been sick for such a long time.,Es triste que haya estado enfermo durante tanto tiempo.
I thought it'd get easier.,Pensé que haría más fácil.
She finished up lunch with coffee.,Ella terminó el almuerzo con el café.
He has stayed at the hotel for five days.,Se ha quedado en ese hotel desde hace cinco días.
You made the same mistake.,Cometiste el mismo error.
Just go to sleep.,Limítate a dormir.
Is it a boy or a girl?,¿Es niño o niña?
I asked Tom why he was laughing.,Le pregunté a Tom porqué se estaba riendo.
Tom waited breathlessly.,Tom esperó jadeando.
They could only listen.,Ellos solo podían escuchar.
I don't need anything from you.,No necesito nada de vos.
Tom boarded a train bound for Tokyo.,Tom abordó un tren con destino a Tokio.
I've learned to cook.,Aprendí a cocinar.
My uncle has been diagnosed with leukemia.,A mi tío le han diagnosticado leucemia.
My friends aren't young.,Mis amigos no son jóvenes.
She urged him to study harder.,Ella lo instó a estudiar más.
I don't want to see your faces.,No quiero ver vuestras caras.
The politician was not ashamed of having taken bribes.,Los políticos no se avergonzaban de recibir sobornos.
I thought Tom had changed.,Pensé que Tom había cambiado.
The roses smell good.,Las rosas huelen bien.
This only happens in Australia.,Esto sólo pasa en Australia.
She mistook my brother for me.,Ella confundió a mi hermano conmigo.
They took it by force.,Ellos se lo llevaron por la fuerza.
She's a good kisser.,Ella es buena besando.
The book I read yesterday was really interesting.,El libro que me leí ayer era muy interesante.
Halloween's celebrated in October.,Halloween se celebra en octubre.
His neighbors are suspicious of him.,Sus vecinos sospechan de él.
I'll give a speech tomorrow.,Daré un discurso mañana.
Tom wanted Mary to sign a prenuptial agreement.,Tom quería que Mary firmara un acuerdo prenupcial.
Have you ever been diagnosed with thyroid issues?,¿Te han diagnosticado de problemas tiroideos alguna vez?
I'll meet you Monday night.,Te veré el lunes por la noche.
We're giving a party tonight.,Esta noche damos una fiesta.
"I was nervous at first, but gradually got more relaxed.",Estaba nervioso al principio pero gradualmente me fui relajando.
May I call on you some day?,¿Te puedo visitar algún día?
You're back.,Ya estás aquí.
I'm unemployed.,Estoy desempleado.
Clerks with sticky fingers won't keep their jobs for long.,Los oficinistas de manos largas no mantendrán sus puestos por mucho tiempo.
I have a lot of books in my room.,Tengo muchos libros en mi habitación.
Tom saved Mary's life.,Tom salvó la vida de Mary.
Tom doesn't use steroids.,Tom no usa esteroides.
The priest frantically came into the church saying he had a message from God.,El sacerdote entró desesperado a la iglesia diciendo que tenía un mensaje de Dios.
The farm production of this year is better than we expected.,Este año la producción de la granja ha sido mejor que lo esperado.
I almost always speak French with Tom.,Casi siempre hablo francés con Tom.
Tom turned off the engine and shut off the headlights.,Tom apagó el motor y las luces.
A beam of sunlight came through the clouds.,Un rayo de sol atravesó las nubes.
I was absent.,Yo estaba ausente.
When was the last time you made a cake?,¿Cuándo fue la última vez que hiciste una torta?
Tom called Mary up from the airport.,Tom llamó a Mary desde el aeropuerto.
Do it for me.,Hacelo por mí.
I don't care who kisses Tom.,No importa quién besa a Tom.
That's between Tom and me.,Eso es entre Tom y yo.
I'd be very upset if that happened.,Me disgustaría mucho que eso sucediera.
Let's discuss the matter here.,Discutamos el asunto aquí.
I'm pretty progressive.,Soy bastante progresista.
"Although Tom is sick, he plans to get his homework done on time.","Aunque Tom está enfermo, planea terminar su tarea a tiempo."
You must be exhausted.,Debes estar agotada.
May I put it down here?,¿Puedo ponerlo aquí?
It's a picture of my family.,Es una foto de mi familia.
She speaks loudly.,Ella habla en voz alta.
I saw a wonderful movie last night.,Anoche vi una película estupenda.
Add another log to the fire.,Eche otro tronco al fuego.
I just need some coffee.,Solo necesito algo de café.
Everyone was surprised when I went into the room.,Todos se sorprendieron cuando entré en la sala.
Read the story aloud.,Lee la historia en alto.
"The moment they saw me, they waved.",En el momento en que ellos me vieron me saludaron con la mano.
Tom is harsh.,Tom es cruel.
Tom couldn't sleep last night.,Tom no pudo dormir anoche.
Let's work together.,Trabajemos juntos.
They want to leave.,Quieren irse.
Did you call Tom?,¿Llamaste a Tom?
None of your business.,No es de tu incumbencia.
Tom didn't want to be a snitch.,Tom no quería ser un chivato.
Do you want half of this cake?,¿Quiere usted la mitad de este pastel?
You get paid in proportion to the amount of the work you do.,Eres pagado en proporción a la cantidad de trabajo que hagas.
I'm going through my closet to find clothes to give to charity.,Estoy mirando en el armario a ver si encuentro ropa que dar a la caridad.
The child came aboard the plane in a good mood.,El niño subió a bordo del avión con buen ánimo.
I lost the watch that my father gave me.,Perdí el reloj que mi padre me dio.
You're too suspicious about everything.,Eres tan supersticioso acerca de todo.
Tom always carries a camera with him wherever he goes.,Tom siempre lleva una cámara con él donde quiera que vaya.
He was searching for something in the dark.,Él estaba buscando algo en la oscuridad.
No one wants to look like a fool.,Nadie quiere parecer idiota.
"If he comes, give him my regards.","Si viene, denle mis saludos."
I don't know what you want to do.,No sé qué quieres hacer.
He was the one who suggested it.,Él es quien propuso eso.
There is no use in asking him for assistance.,No tiene caso pedirle que asista.
You look sad.,Pareces triste.
I took my revenge.,Obtuve mi venganza.
"Do you want something to drink? ""No, thank you.""","¿Quieres algo de beber? ""No, gracias."""
Tom suggested that I go to a movie with Mary.,Tom sugirió que fuera a ver una película con Mary.
Tom's comfortable.,Tom está cómodo.
He will join us later.,Él se nos unirá más tarde.
They shouted for help.,Ellos gritaron pidiendo ayuda.
"That could be true, but I don't really think so.","Eso podría ser verdad, pero realmente no lo creo."
I'm going to the post office.,Voy a la oficina de correos.
"At first, I had no idea why.","Al principio, no tenía ni idea del porqué."
Are you proud of your father?,¿Estáis orgullosas de vuestro padre?
May I see your license?,¿Puedo ver tu permiso?
I hope to see you again.,Espero volver a verte.
She has a very enviable position.,Ella tiene un puesto muy envidiable.
He's mumbling something.,Él está murmurando algo.
Her fever was still higher an hour later.,"Una hora después, su fiebre era aún más alta."
Asians eat a lot of rice.,Los asiáticos comen mucho arroz.
Tom told Mary not to wait up because he wouldn't be home until very late.,Tom le dijo a Mary que no lo esperara porque no llegaría a casa hasta muy tarde.
He was acting on orders.,Seguía órdenes.
She's hot.,Está buena.
This works.,Esto funciona.
What do you think of this sweater?,¿Qué te parece este jersey?
Tom told Mary and Mary told John.,Tom se lo dijo a Mary y Mary se lo dijo a John.
I spent the whole afternoon chatting with friends.,Pasé el resto de la tarde charlando con amigos.
I usually play tennis.,Comúnmente juego tenis.
Her belief in God is very firm.,Su fe en Dios en muy firme.
He is now on the way to recovery.,Él se está recuperando ahora.
I just want to be left alone.,Solo quiero que me dejen sola.
